Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,61.380001068115234,61.83000183105469,60.689998626708984,61.439998626708984,61.05787658691406,1828400
2023-01-04,62.220001220703125,63.15999984741211,62.16999816894531,62.79999923706055,62.40941619873047,2528600
2023-01-05,61.959999084472656,62.83000183105469,61.470001220703125,62.529998779296875,62.14109420776367,2693900
2023-01-06,63.08000183105469,63.91999816894531,62.709999084472656,63.7400016784668,63.343570709228516,1348300
2023-01-09,64.08000183105469,64.62000274658203,63.529998779296875,63.630001068115234,63.234256744384766,1917700
2023-01-10,63.22999954223633,64.23999786376953,62.97999954223633,64.23999786376953,63.840457916259766,1253600
2023-01-11,64.86000061035156,65.95999908447266,64.72000122070312,65.95999908447266,65.54975891113281,2239400
2023-01-12,66.0199966430664,66.51000213623047,64.77999877929688,66.19999694824219,65.78826141357422,2322800
2023-01-13,65.2300033569336,66.68000030517578,64.94999694824219,66.54000091552734,66.12615966796875,3978300
2023-01-17,66.08999633789062,66.83000183105469,66.02999877929688,66.30999755859375,65.8975830078125,1799600
2023-01-18,66.94999694824219,67.83000183105469,65.9000015258789,65.95999908447266,65.54975891113281,2234300
2023-01-19,65.43000030517578,65.56999969482422,64.05999755859375,64.2699966430664,63.870269775390625,2405900
2023-01-20,64.47000122070312,65.75,63.63999938964844,65.69000244140625,65.28144073486328,5046300
2023-01-23,65.66000366210938,66.61000061035156,65.45999908447266,66.43000030517578,66.016845703125,2288200
2023-01-24,66.44999694824219,67.76000213623047,66.01000213623047,66.95999908447266,66.54354095458984,2154600
2023-01-25,66.11000061035156,67.12999725341797,66.08000183105469,67.01000213623047,66.5932388305664,1335000
2023-01-26,66.94999694824219,67.83000183105469,66.33999633789062,67.25,66.83174133300781,1813600
2023-01-27,67.05000305175781,68.0,66.8499984741211,67.66000366210938,67.23918914794922,1169500
2023-01-30,67.04000091552734,67.91999816894531,66.45999908447266,66.5,66.0864028930664,1584600
